date,open,high,low,close,volume
2018-02-21,6.222200,6.229122,5.966825,5.970533,892292000.000000
2018-02-22,6.004422,6.076159,5.924522,5.990075,534364000.000000
2018-02-23,6.049938,6.083580,5.999227,6.083580,415300000.000000
2018-02-26,6.129839,6.134291,6.037322,6.099659,469312000.000000
2018-02-27,6.072944,6.157297,6.063791,6.086797,455436000.000000
2018-02-28,6.097680,6.137259,5.974737,5.986363,523116000.000000
2018-03-01,5.984137,6.038064,5.643013,5.744188,1040120000.000000
2018-03-02,5.636582,5.857732,5.487913,5.851300,913428000.000000
2018-03-05,5.801083,5.868862,5.677645,5.829283,620776000.000000
2018-03-06,5.914625,6.009615,5.871583,5.990320,636808000.000000
2018-03-07,5.887414,6.034600,5.886178,5.982405,581208000.000000
2018-03-08,6.009864,6.009864,5.921800,5.966080,411912000.000000
2018-03-09,6.013574,6.081601,5.997496,6.068738,505524000.000000
2018-03-12,6.110050,6.258472,6.101886,6.178324,605060000.000000
2018-03-13,6.221119,6.295577,6.086302,6.127613,619772000.000000
2018-03-14,6.170655,6.197866,6.090754,6.153092,505496000.000000
2018-03-15,6.166697,6.249071,6.125880,6.167933,401952000.000000
2018-03-16,6.184262,6.215183,6.146661,6.196136,399456000.000000
2018-03-19,6.139239,6.168181,5.862679,5.961627,713772000.000000
2018-03-20,5.964595,6.212708,5.964595,6.173871,554696000.000000
2018-03-21,6.167439,6.233735,6.118212,6.148639,438688000.000000
2018-03-22,6.085313,6.131818,5.945301,5.982654,551196000.000000
2018-03-23,5.996259,5.998733,5.751857,5.762989,735620000.000000
2018-03-26,5.887414,6.048947,5.835467,6.047710,611424000.000000
2018-03-27,6.128603,6.184262,5.438440,5.578699,1409000000.000000
2018-03-28,5.544313,5.674430,5.367938,5.475544,945904000.000000
2018-03-29,5.543818,5.825573,5.459465,5.728852,916628000.000000
2018-04-02,5.658351,5.804547,5.380307,5.468123,922092000.000000
2018-04-03,5.635098,5.698177,5.475544,5.574492,667432000.000000
2018-04-04,5.318712,5.606898,5.293727,5.596509,789168000.000000
2018-04-05,5.654888,5.667999,5.404797,5.476287,701240000.000000
2018-04-06,5.373627,5.481728,5.270721,5.299911,662988000.000000
2018-04-09,5.362991,5.490881,5.308569,5.328606,499524000.000000
2018-04-10,5.558909,5.664783,5.501766,5.637820,761676000.000000
2018-04-11,5.622978,5.664289,5.563856,5.596509,460244000.000000
2018-04-12,5.689519,5.821120,5.645240,5.803309,593920000.000000
2018-04-13,5.866884,5.875295,5.678388,5.726625,503036000.000000
2018-04-16,5.733304,5.759773,5.632130,5.726378,350792000.000000
2018-04-17,5.778572,5.897310,5.722914,5.876036,447224000.000000
2018-04-18,5.825573,5.918337,5.758041,5.847094,391364000.000000
2018-04-19,5.732808,5.766203,5.610360,5.665771,471996000.000000
2018-04-20,5.657114,5.741467,5.626440,5.657609,386200000.000000
2018-04-23,5.675420,5.726625,5.512156,5.538129,427508000.000000
2018-04-24,5.563856,5.659836,5.406529,5.471835,414596000.000000
2018-04-25,5.442149,5.481233,5.202200,5.359527,588492000.000000
2018-04-26,5.521307,5.579440,5.455260,5.571276,375824000.000000
2018-04-27,5.677151,5.696941,5.556434,5.598734,400848000.000000
2018-04-30,5.615061,5.664783,5.544066,5.563361,327844000.000000
2018-05-01,5.555198,5.621494,5.496571,5.618773,253788000.000000
2018-05-02,5.615308,5.659834,5.572018,5.598239,268248000.000000
2018-05-03,5.630152,5.789706,5.584883,5.763485,443144000.000000
2018-05-04,5.734789,5.916854,5.717474,5.913638,400660000.000000
2018-05-07,6.018273,6.208748,6.008378,6.151606,687616000.000000
2018-05-08,6.151855,6.196876,6.102875,6.194155,506616000.000000
2018-05-09,6.214192,6.329466,6.186981,6.327240,596760000.000000
2018-05-10,6.380178,6.444000,6.362368,6.434847,994080000.000000
2018-05-11,6.253029,6.426436,6.197618,6.296319,1214456000.000000
2018-05-14,6.334416,6.394279,6.293105,6.316852,523140000.000000
2018-05-15,6.253275,6.255997,5.973994,6.074427,963528000.000000
2018-05-16,6.035838,6.147649,5.998980,6.085559,553828000.000000
2018-05-17,6.087291,6.221366,6.071212,6.127613,519784000.000000
2018-05-18,6.179560,6.242886,6.078879,6.083827,483716000.000000
2018-05-21,6.181291,6.185001,5.949010,6.041774,640624000.000000
2018-05-22,6.055134,6.080365,5.943075,6.003681,518264000.000000
2018-05-23,5.947493,6.128433,5.946750,6.127195,442956000.000000
2018-05-24,6.123481,6.173233,6.070263,6.130906,437372000.000000
2018-05-25,6.143531,6.186600,6.107888,6.170263,292112000.000000
2018-05-29,6.152193,6.221253,6.106402,6.153183,352684000.000000
2018-05-30,6.186848,6.270758,6.162095,6.262094,390996000.000000
2018-05-31,6.230163,6.316796,6.219520,6.242291,493868000.000000
2018-06-01,6.287095,6.382887,6.278432,6.376698,421968000.000000
2018-06-04,6.410856,6.577687,6.378678,6.555657,642024000.000000
2018-06-05,6.558874,6.598726,6.514072,6.561102,391712000.000000
2018-06-06,6.471004,6.566300,6.454667,6.563082,371356000.000000
2018-06-07,6.559370,6.571251,6.417044,6.507390,369448000.000000
2018-06-08,6.434619,6.534619,6.415808,6.492045,360456000.000000
2018-06-11,6.479419,6.521003,6.438083,6.450954,265372000.000000
2018-06-12,6.477438,6.511596,6.427191,6.499467,319160000.000000
2018-06-13,6.500953,6.575953,6.485854,6.495013,338208000.000000
2018-06-14,6.540063,6.663330,6.525212,6.606647,430016000.000000
2018-06-15,6.549469,6.620756,6.518528,6.565805,432260000.000000
2018-06-18,6.521747,6.579173,6.494520,6.561599,356268000.000000
2018-06-19,6.458380,6.525707,6.312342,6.439816,594932000.000000
2018-06-20,6.480906,6.545757,6.442539,6.492787,369780000.000000
2018-06-21,6.524715,6.543032,6.356400,6.364073,359516000.000000
2018-06-22,6.384865,6.398231,6.196252,6.211598,434160000.000000
2018-06-25,6.105165,6.108878,5.830167,5.918780,665816000.000000
2018-06-26,6.032146,6.080413,5.938335,5.989820,478884000.000000
2018-06-27,6.033384,6.099720,5.829177,5.834622,453892000.000000
2018-06-28,5.824720,5.973729,5.817047,5.961848,338012000.000000
2018-06-29,6.026947,6.039570,5.862591,5.863829,392300000.000000
2018-07-02,5.794275,5.999720,5.773731,5.996007,357572000.000000
2018-07-03,6.030659,6.036600,5.853927,5.862343,222732000.000000
2018-07-05,5.917541,6.013085,5.878680,6.008135,306216000.000000
2018-07-06,5.983630,6.130412,5.962343,6.121996,296352000.000000
2018-07-09,6.196253,6.205907,6.090808,6.169520,303880000.000000
2018-07-10,6.181898,6.290560,6.141551,6.268531,360016000.000000
2018-07-11,6.175710,6.210363,6.116304,6.126947,367508000.000000
2018-07-12,6.172242,6.266548,6.162341,6.218529,345508000.000000
2018-07-13,6.237095,6.237095,6.129174,6.171253,246988000.000000
2018-07-16,6.143530,6.196500,6.131154,6.143530,197036000.000000
2018-07-17,6.094274,6.294521,6.068779,6.279422,362136000.000000
2018-07-18,6.271994,6.285855,6.179173,6.230163,277640000.000000
2018-07-19,6.211352,6.271996,6.196254,6.238332,235752000.000000
2018-07-20,6.235856,6.274718,6.199223,6.210114,222352000.000000
2018-07-23,6.183630,6.185363,6.021749,6.173481,301584000.000000
2018-07-24,6.221499,6.308133,6.138579,6.156153,354620000.000000
2018-07-25,6.165559,6.246995,6.107638,6.234371,319112000.000000
2018-07-26,6.214322,6.344767,6.197490,6.307886,325124000.000000
2018-07-27,6.344520,6.351451,6.184125,6.238085,295420000.000000
2018-07-30,6.252193,6.258134,6.007888,6.042789,340340000.000000
2018-07-31,6.032392,6.135609,5.993531,6.060857,283988000.000000
2018-08-01,6.092294,6.147491,6.036848,6.100709,283556000.000000
2018-08-02,6.029421,6.207391,5.970511,6.203431,269668000.000000
2018-08-03,6.227936,6.263827,6.211105,6.240065,214288000.000000
2018-08-06,6.227441,6.291302,6.180907,6.287837,207508000.000000
